cores,cpu,gpu,mem,skip_index,start_time,end_time,clean minibatches
4,1651200,1236750000,3199000000,5,19.78659797,40.79416585,46
10,1651200,1236750000,665600000,5,24.13798261,51.1297977,46
12,1651200,1236750000,665600000,5,24.01371717,50.84167147,46
8,1651200,1134750000,3199000000,5,19.40097451,39.12274837,46
12,1651200,1134750000,665600000,5,24.31205225,51.24267769,46
2,1651200,930750000,665600000,5,28.7120204,59.42971754,46
4,1651200,930750000,665600000,5,24.73749232,52.5313046,46
8,1651200,930750000,665600000,5,24.14792752,51.20727658,46
8,1651200,828750000,3199000000,5,19.35578585,40.09824324,46
8,1651200,828750000,665600000,5,24.40035868,51.44164348,46
4,1804800,1300500000,665600000,5,23.06100583,48.9404633,46
10,1804800,1300500000,2133000000,5,18.49546289,38.33447814,46
2,1804800,1236750000,665600000,5,26.9109745,55.16375041,46
4,1804800,1236750000,2133000000,5,18.88974905,37.95537901,46
4,1804800,1236750000,3199000000,5,17.45641184,37.13301682,46
6,1804800,1236750000,2133000000,5,18.62820888,37.49239779,46
4,1804800,1134750000,2133000000,5,18.81936121,37.82191467,46
4,1804800,1032750000,2133000000,5,19.02098012,39.15006566,46
4,1804800,1032750000,665600000,5,23.51768374,49.70273376,46
12,1804800,1032750000,3199000000,5,18.28150702,37.02433228,46
2,1804800,828750000,665600000,5,26.98678231,56.70657682,46
6,1804800,828750000,2133000000,5,18.64313173,38.61573815,46
10,1804800,828750000,2133000000,5,18.69074988,38.61183429,46
2,1804800,624750000,665600000,5,27.17945576,57.34117436,46
6,1958400,1300500000,2133000000,5,16.29433298,32.71799016,46
12,1958400,1300500000,2133000000,5,17.46256995,35.14180231,46
4,1958400,1236750000,2133000000,5,17.51294088,36.39953423,46
6,1958400,1236750000,2133000000,5,17.45480061,35.22506952,46
4,1958400,1134750000,2133000000,5,17.83211112,36.79772449,46
8,1958400,1134750000,665600000,5,20.80133557,45.4511683,46
4,1958400,1032750000,665600000,5,22.20716548,47.34998393,46
8,1958400,1032750000,2133000000,5,17.47059679,35.13861322,46
12,1958400,1032750000,2133000000,5,17.50308275,35.25407767,46
4,1958400,930750000,2133000000,5,17.64552212,36.84389305,46
8,1958400,930750000,2133000000,5,17.42467761,36.1894021,46
4,1958400,828750000,2133000000,5,18.74547029,37.68658733,46
6,1958400,828750000,2133000000,5,17.5265789,36.45684695,46
6,1958400,726750000,2133000000,5,17.5175662,36.29914618,46
4,2112000,1300500000,2133000000,5,16.35729814,33.98002362,46
6,2112000,1300500000,2133000000,5,16.22704029,32.57594848,46
6,2112000,1300500000,3199000000,5,14.80779457,30.96509552,46
12,2112000,1300500000,3199000000,5,15.83970332,32.10598922,46
6,2112000,1134750000,2133000000,5,16.32320499,33.97759461,46
12,2112000,828750000,665600000,5,20.48521066,44.0471642,46
6,2201600,1300500000,3199000000,5,14.8581481,30.02188015,46
