cores,cpu,gpu,mem,observed_power,predicted_power,observed_time,predicted_time
12,1804800,1236750000,2133000000,26.867,34.17917041759632,122.54806518554688,178.67866937263167
12,1804800,1134750000,2133000000,31.692,32.64510970571011,128.5692138671875,179.80723521761578
12,1804800,1032750000,2133000000,29.484,31.111048993823903,134.06594848632812,181.0503386297229
12,1804800,930750000,2133000000,28.179,29.57698828193769,136.7269744873047,182.43280239046263
12,1804800,828750000,2133000000,24.876,28.04292757005149,143.2882537841797,183.98836411348967
12,1804800,726750000,2133000000,25.975,26.508866858165284,155.81004333496094,185.7644876919824
12,1804800,624750000,2133000000,20.264,24.974806146279075,170.0877685546875,187.83090971121965
12,1804800,522750000,2133000000,18.857,23.44074543439287,194.92469787597656,190.2960287210269
12,1804800,420750000,2133000000,21.381,21.90668472250666,229.02517700195312,193.34169411464924
12,1804800,318750000,2133000000,19.979,20.372624010620456,292.8009033203125,197.3083382856372
12,1804800,216750000,2133000000,18.273,18.838563298734247,417.65087890625,202.95386367280736
12,1804800,114750000,2133000000,16.155,17.30450258684804,776.09814453125,212.61880674335103
12,1958400,1300500000,2133000000,34.694,35.492758535700304,119.22630310058594,169.07781819584244
12,1958400,1236750000,2133000000,35.304,34.533970590771425,120.10829162597656,169.70059836995682
12,1958400,1134750000,2133000000,30.583,32.99990987888522,125.8584976196289,170.7724571422778
12,1958400,1032750000,2133000000,30.884,31.465849166999007,130.54025268554688,171.9530983100848
12,1958400,930750000,2133000000,28.48,29.9317884551128,137.59475708007812,173.2660973840429
12,1958400,828750000,2133000000,27.579,28.3977277432266,142.82826232910156,174.74349676319636
12,1958400,726750000,2133000000,26.382,26.863667031340388,156.83847045898438,176.43037542144634
12,1958400,624750000,2133000000,24.676,25.32960631945418,172.42816162109375,178.39296588834807
12,1958400,522750000,2133000000,20.866,23.795545607567973,194.39187622070312,180.7342200094263
12,1958400,420750000,2133000000,21.58,22.261484895681768,226.63836669921875,183.6268497874917
12,1958400,318750000,2133000000,19.874,20.72742418379556,293.8324584960937,187.3941819021804
12,1958400,216750000,2133000000,18.56,19.193363471909358,418.0665283203125,192.7560364519116
12,1958400,114750000,2133000000,16.653,17.659302760023145,775.9458618164062,201.93534491688752
12,2112000,1300500000,2133000000,36.307,35.84755870887541,117.96348571777344,161.2087951128579
12,2112000,1236750000,2133000000,31.784,34.888770763946525,120.87344360351562,161.80259057674814
12,2112000,1134750000,2133000000,33.893,33.35471005206032,125.03298950195312,162.82456414525535
12,2112000,1032750000,2133000000,30.684,31.820649340174118,129.07174682617188,163.95025728557223
12,2112000,930750000,2133000000,30.485,30.286588628287905,138.7737274169922,165.2021482843779
12,2112000,828750000,2133000000,29.083,28.752527916401696,142.81365966796875,166.61078826066353
12,2112000,726750000,2133000000,27.183,27.21846720451549,155.83251953125,168.2191581751788
12,2112000,624750000,2133000000,24.475,25.68440649262929,172.41427612304688,170.09040804015365
12,2112000,522750000,2133000000,19.156,24.15034578074308,194.07843017578125,172.3226982361086
12,2112000,420750000,2133000000,21.879,22.61628506885687,227.7565155029297,175.08070260477962
12,2112000,318750000,2133000000,20.777,21.082224356970663,291.5097961425781,178.67269993168784
12,2112000,216750000,2133000000,19.472,19.548163645084458,417.3101806640625,183.7850092857827
12,2112000,114750000,2133000000,16.956,18.01410293319825,774.9406127929688,192.53710505681988
12,2201600,1300500000,2133000000,38.613,36.05452547656088,117.04505920410156,157.0360795549237
12,2201600,1236750000,2133000000,34.693,35.09573753163201,119.47811126708984,157.61450526452313
