powermode,bs,observed_time,predicted_time,observed_power,predicted_power
12_1036800_1300500000_665600000,1,37.01107215881348,45.19975,15.954,15.12636
12_1036800_1300500000_2133000000,1,34.7194709777832,37.384586,16.757,15.744941
12_1036800_1300500000_3199000000,1,34.59471893310547,36.09158,17.359,16.171373
4_1344000_114750000_665600000,1,33.711265563964844,48.2777,12.844,13.723111
4_1344000_114750000_2133000000,1,33.41316795349121,41.59882,13.848,14.121402
4_1344000_114750000_3199000000,1,30.26646423339844,51.23946,14.851,14.3478
8_1344000_114750000_665600000,1,32.14587116241455,45.341656,13.142,13.705289
8_1344000_114750000_2133000000,1,30.24022388458252,38.9378,14.249,14.101837
8_1344000_114750000_3199000000,1,28.713552474975582,40.942265,14.853,14.9903965
12_1344000_114750000_665600000,1,31.67193603515625,46.025234,13.243,13.712277
12_1344000_114750000_2133000000,1,29.026047706604004,37.206097,14.146,14.067386
12_1344000_114750000_3199000000,1,28.064847946166992,39.581387,14.849,15.026217
4_1344000_318750000_665600000,1,34.02367973327637,37.88102,13.144,13.813354
4_1344000_318750000_2133000000,1,31.282320022583008,31.895882,16.955,14.583222
4_1344000_318750000_3199000000,1,31.47772789001465,38.31813,14.75,14.9881
8_1344000_318750000_665600000,1,34.85955238342285,34.804287,13.144,13.785433
8_1344000_318750000_2133000000,1,29.647664070129395,29.873175,14.148,14.612248
8_1344000_318750000_3199000000,1,29.4530086517334,32.101917,15.151,15.377998
12_1344000_318750000_665600000,1,32.14726448059082,32.876152,13.144,13.801665
12_1344000_318750000_2133000000,1,29.658960342407227,30.023788,14.148,14.478766
12_1344000_318750000_3199000000,1,28.5806884765625,31.248964,14.75,15.25694
4_1344000_522750000_665600000,1,36.87155151367188,37.75115,13.545,13.927413
4_1344000_522750000_2133000000,1,31.9576473236084,29.429958,16.955,15.813073
4_1344000_522750000_3199000000,1,30.176464080810547,34.859043,15.151,15.293419
8_1344000_522750000_665600000,1,32.83671951293945,34.26088,13.545,13.870065
8_1344000_522750000_2133000000,1,30.127615928649902,29.876148,14.148,15.076985
8_1344000_522750000_3199000000,1,28.245792388916016,32.304516,15.151,15.415462
12_1344000_522750000_665600000,1,32.38663864135742,33.90771,13.545,13.939082
12_1344000_522750000_2133000000,1,29.59379196166992,31.235626,14.047,14.856833
12_1344000_522750000_3199000000,1,28.746031761169437,31.886658,15.151,15.286904
4_1344000_726750000_665600000,1,37.60214424133301,39.00684,13.545,14.0524645
4_1344000_726750000_2133000000,1,31.251903533935547,30.291798,16.554,15.902034
4_1344000_726750000_3199000000,1,29.97103977203369,35.94573,15.552,15.4620075
8_1344000_726750000_665600000,1,32.63043212890625,35.33371,13.946,13.973736
8_1344000_726750000_2133000000,1,29.63475227355957,30.527767,14.549,15.171649
8_1344000_726750000_3199000000,1,28.93785572052002,33.326157,15.552,15.43958
12_1344000_726750000_665600000,1,32.39569664001465,36.002155,13.946,14.144754
12_1344000_726750000_2133000000,1,29.31441593170166,31.62965,14.549,15.121731
12_1344000_726750000_3199000000,1,28.149439811706543,31.552364,15.552,15.394513
4_1344000_930750000_665600000,1,35.20633506774902,40.151836,13.946,14.311706
4_1344000_930750000_2133000000,1,32.523088455200195,32.007645,16.955,15.767978
4_1344000_930750000_3199000000,1,30.897536277771,36.91689,15.953,15.629355
8_1344000_930750000_665600000,1,33.46382522583008,36.863117,14.347,14.20264
8_1344000_930750000_2133000000,1,29.97324848175049,31.47875,15.351,15.343363
8_1344000_930750000_3199000000,1,28.473072052001957,32.74347,15.953,15.577378
12_1344000_930750000_665600000,1,31.95073509216309,37.007286,14.347,14.41679
12_1344000_930750000_2133000000,1,29.17411231994629,30.213552,15.351,15.368479
12_1344000_930750000_3199000000,1,28.03102397918701,28.985058,15.953,15.640068
4_1344000_1134750000_665600000,1,36.37542343139648,40.471165,14.748,15.459981
4_1344000_1134750000_2133000000,1,32.00551986694336,34.44231,16.955,15.7686405
4_1344000_1134750000_3199000000,1,29.142911911010746,38.421497,16.755,15.922128
8_1344000_1134750000_665600000,1,32.963008880615234,37.387505,15.149,15.050803
8_1344000_1134750000_2133000000,1,30.125120162963867,30.477097,16.153,15.639972
8_1344000_1134750000_3199000000,1,28.456144332885746,31.37265,16.655,15.910697
12_1344000_1134750000_665600000,1,32.08070373535156,37.27132,15.149,14.862062
12_1344000_1134750000_2133000000,1,29.56811141967773,29.379725,16.156,15.820981
12_1344000_1134750000_3199000000,1,28.1147518157959,26.941662,16.755,16.220585
4_1344000_1300500000_665600000,1,36.64228820800781,40.996883,15.951,15.794276
4_1344000_1300500000_2133000000,1,31.976447105407715,35.19106,16.955,16.058315
4_1344000_1300500000_3199000000,1,30.713536262512207,38.98297,17.557,16.303066
8_1344000_1300500000_665600000,1,32.76211166381836,37.482857,15.954,15.705967
8_1344000_1300500000_2133000000,1,29.90167999267578,30.62613,16.958,16.044285
8_1344000_1300500000_3199000000,1,28.47183990478516,30.626293,17.557,16.415882
12_1344000_1300500000_665600000,1,33.101423263549805,37.825695,15.951,15.95414
12_1344000_1300500000_2133000000,1,29.449359893798828,29.961765,16.955,16.51303
12_1344000_1300500000_3199000000,1,29.20883178710937,26.449585,17.557,16.948696
4_1651200_114750000_665600000,1,31.949135780334476,46.02103,13.343,13.89994
4_1651200_114750000_2133000000,1,27.6364803314209,39.68677,14.65,14.166929
4_1651200_114750000_3199000000,1,27.044368743896484,46.78165,14.851,14.973844
8_1651200_114750000_665600000,1,28.968048095703125,45.71568,13.744,13.902668
8_1651200_114750000_2133000000,1,27.62977600097656,37.493877,14.648,14.194539
8_1651200_114750000_3199000000,1,27.06174373626709,38.07616,15.25,15.200359
12_1651200_114750000_665600000,1,28.95889568328857,43.494114,13.744,13.9596615
12_1651200_114750000_2133000000,1,27.49775981903076,35.96151,14.648,14.19321
12_1651200_114750000_3199000000,1,26.976719856262207,38.440334,15.252,15.224037
4_1651200_318750000_665600000,1,29.19398403167725,33.775646,13.646,13.98323
4_1651200_318750000_2133000000,1,25.24796772003174,28.522787,17.356,14.881047
4_1651200_318750000_3199000000,1,25.767024040222168,33.366863,15.252,15.427123
8_1651200_318750000_665600000,1,27.07155132293701,32.290436,13.746,13.978751
8_1651200_318750000_2133000000,1,27.00099277496338,27.785355,14.549,15.118666
8_1651200_318750000_3199000000,1,23.55473518371582,27.699589,15.653,15.470695
12_1651200_318750000_665600000,1,27.586336135864254,31.879427,14.046,14.07157
12_1651200_318750000_2133000000,1,24.401183128356934,28.107586,14.549,14.993125
12_1651200_318750000_3199000000,1,23.344799995422363,27.98216,15.653,15.441923
4_1651200_522750000_665600000,1,30.73207950592041,33.146435,13.545,14.096509
4_1651200_522750000_2133000000,1,26.47532844543457,26.886192,16.955,16.127214
