powermode,bs,observed_time,predicted_time,observed_power,predicted_power
8_1036800_1134750000_2133000000,1,84.97900772094727,664.87933,38.8765,41.586403
8_1036800_1134750000_3199000000,1,81.14177703857422,338.74268,41.7185,45.22261
12_1036800_1134750000_665600000,1,225.570068359375,1702.7426,24.786,43.487556
12_1036800_1134750000_2133000000,1,83.54550170898438,946.5642,38.0715,46.76039
12_1036800_1134750000_3199000000,1,70.52689743041992,541.4219,44.938,49.561794
4_1036800_1300500000_665600000,1,230.45263671875,1479.096,26.189,41.46376
4_1036800_1300500000_2133000000,1,91.05721282958984,853.026,41.315,45.708
4_1036800_1300500000_3199000000,1,80.42023849487305,530.34674,44.368,49.647415
8_1036800_1300500000_665600000,1,232.9296646118164,1540.3651,26.691,44.5833
8_1036800_1300500000_2133000000,1,84.61576080322266,870.33936,42.318,48.25067
8_1036800_1300500000_3199000000,1,80.4239387512207,508.43457,46.831,51.860035
12_1036800_1300500000_665600000,1,226.0285797119141,1892.05,26.791,49.73037
12_1036800_1300500000_2133000000,1,81.85369491577148,1150.5845,42.412,53.04129
12_1036800_1300500000_3199000000,1,84.74059295654297,728.5749,43.723,55.81247
4_1344000_114750000_665600000,1,554.6227416992188,2541.5273,14.952,16.476467
4_1344000_114750000_2133000000,1,551.0220642089844,1658.6635,16.361,18.136358
4_1344000_114750000_3199000000,1,550.4438171386719,1982.881,17.566,20.013151
8_1344000_114750000_665600000,1,557.4182434082031,1837.8191,15.353,15.226015
8_1344000_114750000_2133000000,1,553.8834228515625,542.31525,16.166,16.391232
8_1344000_114750000_3199000000,1,554.122802734375,1198.0619,17.37,18.329174
12_1344000_114750000_665600000,1,564.2271728515625,2699.0166,15.252,17.45635
12_1344000_114750000_2133000000,1,551.8436889648438,1785.161,16.166,16.66888
12_1344000_114750000_3199000000,1,547.8310546875,2071.9922,17.37,18.873465
4_1344000_318750000_665600000,1,264.0182342529297,1353.8413,18.374,16.037827
4_1344000_318750000_2133000000,1,82.17758560180664,523.815,43.527,17.358297
4_1344000_318750000_3199000000,1,201.84893035888672,607.2612,22.389,20.138494
8_1344000_318750000_665600000,1,264.4165802001953,996.39294,18.775,15.727939
8_1344000_318750000_2133000000,1,208.4920959472656,-8.557887,21.134,15.021536
8_1344000_318750000_3199000000,1,210.4567642211914,51.18596,22.188,18.59286
12_1344000_318750000_665600000,1,262.04542541503906,1339.7614,18.775,19.083529
12_1344000_318750000_2133000000,1,205.6275863647461,79.99738,21.084,18.057611
12_1344000_318750000_3199000000,1,208.19051361083984,186.8465,22.589,21.149576
4_1344000_522750000_665600000,1,238.12332916259768,909.7953,19.477,18.272604
4_1344000_522750000_2133000000,1,85.7898063659668,358.08344,42.323,19.09721
4_1344000_522750000_3199000000,1,129.46988677978516,409.39563,26.9,22.831158
8_1344000_522750000_665600000,1,238.20641326904297,533.25446,19.878,19.455263
8_1344000_522750000_2133000000,1,134.05374145507812,15.910926,24.944,18.639545
8_1344000_522750000_3199000000,1,129.9143524169922,55.02716,27.0,22.72331
12_1344000_522750000_665600000,1,239.2780532836914,1062.3375,19.376,23.02024
12_1344000_522750000_2133000000,1,131.54556274414062,183.89046,25.292,23.869379
12_1344000_522750000_3199000000,1,132.41929626464844,32.82781,26.9,26.673822
4_1344000_726750000_665600000,1,233.8884506225586,967.1293,20.676,23.148327
4_1344000_726750000_2133000000,1,82.70137786865234,403.8648,42.92,24.325855
4_1344000_726750000_3199000000,1,99.59600067138672,324.00003,31.994,28.601109
8_1344000_726750000_665600000,1,230.4893264770508,782.64355,20.679,24.63435
8_1344000_726750000_2133000000,1,105.81649398803712,250.52592,29.007,25.936253
8_1344000_726750000_3199000000,1,103.69643020629884,68.916985,31.499,29.461262
12_1344000_726750000_665600000,1,237.41199493408203,1235.3085,20.676,28.623579
12_1344000_726750000_2133000000,1,105.49894714355467,502.01715,29.4045,31.242565
