cores,cpu,gpu,mem,bs,predicted_time
12,1036800,930750000,3199000000,1,36.86613
4,1036800,1134750000,665600000,1,48.627193
4,1036800,1134750000,2133000000,1,44.549194
4,1036800,1134750000,3199000000,1,47.371506
8,1036800,1134750000,665600000,1,44.087437
8,1036800,1134750000,2133000000,1,37.200333
8,1036800,1134750000,3199000000,1,40.75734
12,1036800,1134750000,665600000,1,44.154343
12,1036800,1134750000,2133000000,1,36.727615
12,1036800,1134750000,3199000000,1,36.058266
4,1036800,1300500000,665600000,1,49.59384
4,1036800,1300500000,2133000000,1,46.952534
4,1036800,1300500000,3199000000,1,50.585
8,1036800,1300500000,665600000,1,44.41109
8,1036800,1300500000,2133000000,1,37.83945
8,1036800,1300500000,3199000000,1,40.102406
12,1036800,1300500000,665600000,1,45.19975
12,1036800,1300500000,2133000000,1,37.384586
12,1036800,1300500000,3199000000,1,36.09158
4,1344000,114750000,665600000,1,48.2777
4,1344000,114750000,2133000000,1,41.59882
4,1344000,114750000,3199000000,1,51.23946
8,1344000,114750000,665600000,1,45.341656
8,1344000,114750000,2133000000,1,38.9378
8,1344000,114750000,3199000000,1,40.942265
12,1344000,114750000,665600000,1,46.025234
12,1344000,114750000,2133000000,1,37.206097
12,1344000,114750000,3199000000,1,39.581387
4,1344000,318750000,665600000,1,37.88102
4,1344000,318750000,2133000000,1,31.895882
4,1344000,318750000,3199000000,1,38.31813
8,1344000,318750000,665600000,1,34.804287
8,1344000,318750000,2133000000,1,29.873175
8,1344000,318750000,3199000000,1,32.101917
12,1344000,318750000,665600000,1,32.876152
12,1344000,318750000,2133000000,1,30.023788
12,1344000,318750000,3199000000,1,31.248964
4,1344000,522750000,665600000,1,37.75115
4,1344000,522750000,2133000000,1,29.429958
4,1344000,522750000,3199000000,1,34.859043
8,1344000,522750000,665600000,1,34.26088
8,1344000,522750000,2133000000,1,29.876148
8,1344000,522750000,3199000000,1,32.304516
12,1344000,522750000,665600000,1,33.90771
12,1344000,522750000,2133000000,1,31.235626
12,1344000,522750000,3199000000,1,31.886658
4,1344000,726750000,665600000,1,39.00684
4,1344000,726750000,2133000000,1,30.291798
4,1344000,726750000,3199000000,1,35.94573
8,1344000,726750000,665600000,1,35.33371
8,1344000,726750000,2133000000,1,30.527767
8,1344000,726750000,3199000000,1,33.326157
12,1344000,726750000,665600000,1,36.002155
12,1344000,726750000,2133000000,1,31.62965
12,1344000,726750000,3199000000,1,31.552364
4,1344000,930750000,665600000,1,40.151836
4,1344000,930750000,2133000000,1,32.007645
4,1344000,930750000,3199000000,1,36.91689
8,1344000,930750000,665600000,1,36.863117
8,1344000,930750000,2133000000,1,31.47875
8,1344000,930750000,3199000000,1,32.74347
12,1344000,930750000,665600000,1,37.007286
12,1344000,930750000,2133000000,1,30.213552
12,1344000,930750000,3199000000,1,28.985058
4,1344000,1134750000,665600000,1,40.471165
4,1344000,1134750000,2133000000,1,34.44231
4,1344000,1134750000,3199000000,1,38.421497
8,1344000,1134750000,665600000,1,37.387505
8,1344000,1134750000,2133000000,1,30.477097
8,1344000,1134750000,3199000000,1,31.37265
12,1344000,1134750000,665600000,1,37.27132
12,1344000,1134750000,2133000000,1,29.379725
12,1344000,1134750000,3199000000,1,26.941662
4,1344000,1300500000,665600000,1,40.996883
4,1344000,1300500000,2133000000,1,35.19106
4,1344000,1300500000,3199000000,1,38.98297
8,1344000,1300500000,665600000,1,37.482857
8,1344000,1300500000,2133000000,1,30.62613
8,1344000,1300500000,3199000000,1,30.626293
12,1344000,1300500000,665600000,1,37.825695
12,1344000,1300500000,2133000000,1,29.961765
12,1344000,1300500000,3199000000,1,26.449585
4,1651200,114750000,665600000,1,46.02103
4,1651200,114750000,2133000000,1,39.68677
4,1651200,114750000,3199000000,1,46.78165
8,1651200,114750000,665600000,1,45.71568
