cores,cpu,gpu,mem,bs,predicted_time
12,1651200,930750000,665600000,1,52.93069
12,1651200,930750000,2133000000,1,34.065983
12,1651200,930750000,3199000000,1,33.633854
4,1651200,1134750000,665600000,1,51.822124
4,1651200,1134750000,2133000000,1,33.95281
4,1651200,1134750000,3199000000,1,33.790512
8,1651200,1134750000,665600000,1,51.574654
8,1651200,1134750000,2133000000,1,33.42628
8,1651200,1134750000,3199000000,1,32.98852
12,1651200,1134750000,665600000,1,54.235176
12,1651200,1134750000,2133000000,1,34.5046
12,1651200,1134750000,3199000000,1,33.686607
4,1651200,1300500000,665600000,1,57.596935
4,1651200,1300500000,2133000000,1,34.982605
4,1651200,1300500000,3199000000,1,34.02477
8,1651200,1300500000,665600000,1,54.518097
8,1651200,1300500000,2133000000,1,34.70182
8,1651200,1300500000,3199000000,1,33.306572
12,1651200,1300500000,665600000,1,57.674007
12,1651200,1300500000,2133000000,1,35.491947
12,1651200,1300500000,3199000000,1,34.54489
4,1958400,114750000,665600000,1,108.44697
4,1958400,114750000,2133000000,1,80.95166
4,1958400,114750000,3199000000,1,98.30527
8,1958400,114750000,665600000,1,103.44792
8,1958400,114750000,2133000000,1,76.966515
8,1958400,114750000,3199000000,1,88.07168
12,1958400,114750000,665600000,1,115.65002
12,1958400,114750000,2133000000,1,87.06911
12,1958400,114750000,3199000000,1,93.58271
4,1958400,318750000,665600000,1,59.971855
4,1958400,318750000,2133000000,1,42.212906
4,1958400,318750000,3199000000,1,49.005894
8,1958400,318750000,665600000,1,59.218185
8,1958400,318750000,2133000000,1,40.603153
8,1958400,318750000,3199000000,1,45.093185
12,1958400,318750000,665600000,1,64.120056
12,1958400,318750000,2133000000,1,41.785866
12,1958400,318750000,3199000000,1,43.288486
4,1958400,522750000,665600000,1,52.52959
4,1958400,522750000,2133000000,1,34.91223
4,1958400,522750000,3199000000,1,37.819645
8,1958400,522750000,665600000,1,53.111187
8,1958400,522750000,2133000000,1,34.343334
8,1958400,522750000,3199000000,1,35.400272
12,1958400,522750000,665600000,1,57.38473
12,1958400,522750000,2133000000,1,36.403946
12,1958400,522750000,3199000000,1,34.517975
4,1958400,726750000,665600000,1,50.793583
4,1958400,726750000,2133000000,1,34.13208
4,1958400,726750000,3199000000,1,34.67807
8,1958400,726750000,665600000,1,53.094975
8,1958400,726750000,2133000000,1,33.518814
8,1958400,726750000,3199000000,1,33.302498
12,1958400,726750000,665600000,1,55.92203
12,1958400,726750000,2133000000,1,34.348526
12,1958400,726750000,3199000000,1,33.03548
4,1958400,930750000,665600000,1,51.01885
4,1958400,930750000,2133000000,1,33.602726
4,1958400,930750000,3199000000,1,33.309963
8,1958400,930750000,665600000,1,52.597004
8,1958400,930750000,2133000000,1,33.028545
8,1958400,930750000,3199000000,1,32.372223
12,1958400,930750000,665600000,1,56.389523
12,1958400,930750000,2133000000,1,33.71274
12,1958400,930750000,3199000000,1,32.88264
4,1958400,1134750000,665600000,1,55.244106
4,1958400,1134750000,2133000000,1,33.649967
4,1958400,1134750000,3199000000,1,32.393345
8,1958400,1134750000,665600000,1,55.268917
8,1958400,1134750000,2133000000,1,32.88951
8,1958400,1134750000,3199000000,1,32.44875
12,1958400,1134750000,665600000,1,57.53217
12,1958400,1134750000,2133000000,1,34.145164
12,1958400,1134750000,3199000000,1,33.080917
4,1958400,1300500000,665600000,1,59.838184
4,1958400,1300500000,2133000000,1,34.322693
4,1958400,1300500000,3199000000,1,32.599506
8,1958400,1300500000,665600000,1,58.734367
8,1958400,1300500000,2133000000,1,34.309235
8,1958400,1300500000,3199000000,1,32.76827
12,1958400,1300500000,665600000,1,61.454723
12,1958400,1300500000,2133000000,1,34.901863
12,1958400,1300500000,3199000000,1,34.06653
4,2201600,114750000,665600000,1,120.39707
4,2201600,114750000,2133000000,1,85.56682
4,2201600,114750000,3199000000,1,103.254036
8,2201600,114750000,665600000,1,115.41508
8,2201600,114750000,2133000000,1,85.18094
8,2201600,114750000,3199000000,1,95.94976
12,2201600,114750000,665600000,1,127.63038
12,2201600,114750000,2133000000,1,97.03472
12,2201600,114750000,3199000000,1,102.746376
4,2201600,318750000,665600000,1,64.296425
4,2201600,318750000,2133000000,1,42.547325
4,2201600,318750000,3199000000,1,48.86308
8,2201600,318750000,665600000,1,63.08798
8,2201600,318750000,2133000000,1,41.433598
8,2201600,318750000,3199000000,1,45.401196
12,2201600,318750000,665600000,1,67.86006
12,2201600,318750000,2133000000,1,42.574867
12,2201600,318750000,3199000000,1,43.751568
4,2201600,522750000,665600000,1,55.242344
4,2201600,522750000,2133000000,1,34.429905
4,2201600,522750000,3199000000,1,36.495747
8,2201600,522750000,665600000,1,55.974483
8,2201600,522750000,2133000000,1,34.205753
8,2201600,522750000,3199000000,1,34.174324
12,2201600,522750000,665600000,1,60.792812
12,2201600,522750000,2133000000,1,36.951958
12,2201600,522750000,3199000000,1,33.474316
4,2201600,726750000,665600000,1,53.96954
4,2201600,726750000,2133000000,1,33.8005
4,2201600,726750000,3199000000,1,33.374733
8,2201600,726750000,665600000,1,55.27074
8,2201600,726750000,2133000000,1,33.246742
8,2201600,726750000,3199000000,1,32.590164
12,2201600,726750000,665600000,1,58.26004
12,2201600,726750000,2133000000,1,34.60884
12,2201600,726750000,3199000000,1,32.453278
4,2201600,930750000,665600000,1,54.138184
4,2201600,930750000,2133000000,1,33.326492
