observed_time,observed_power,powermode,predicted_time,predicted_power
251.2378692626953,19.539,8_2201600_522750000_3199000000,256.39847,19.02517
395.2689170837402,16.9195,8_2201600_522750000_665600000,399.96414,16.795912
359.3447208404541,17.825,8_2201600_318750000_2133000000,372.99246,17.236984
352.9045581817627,18.634,8_2201600_318750000_3199000000,375.14258,18.266691
444.63372230529785,16.515,8_2201600_318750000_665600000,460.32132,16.003872
839.2353057861328,16.266,8_2201600_114750000_2133000000,805.64905,16.492714
834.3068361282349,16.92,8_2201600_114750000_3199000000,810.0033,17.536682
848.0567932128906,15.31,8_2201600_114750000_665600000,851.0603,15.234842
763.3328437805176,15.901,12_422400_1300500000_2133000000,811.9844,16.322023
723.3073711395264,16.915,12_422400_1300500000_3199000000,799.34705,16.986563
793.8350439071655,15.396,12_422400_1300500000_665600000,843.3766,15.53469
733.9125871658325,15.2995,12_422400_1134750000_2133000000,783.4758,15.524465
727.4918556213379,15.812,12_422400_1134750000_3199000000,768.87476,16.266943
810.7986450195312,14.5935,12_422400_1134750000_665600000,815.15784,14.778696
750.157356262207,14.291,12_422400_930750000_2133000000,749.7929,14.766187
745.413064956665,15.301,12_422400_930750000_3199000000,735.60376,15.497736
779.8689603805542,13.7895,12_422400_930750000_665600000,784.18726,14.093001
743.1075572967529,13.897,12_422400_726750000_2133000000,723.12854,14.247886
732.2062253952026,14.609,12_422400_726750000_3199000000,705.79834,14.98426
785.5865955352783,13.493,12_422400_726750000_665600000,758.0912,13.613062
745.5583810806274,14.002,12_422400_522750000_2133000000,698.702,13.913204
741.004467010498,14.5,12_422400_522750000_3199000000,680.01825,14.619399
782.7774286270142,12.985,12_422400_522750000_665600000,745.6308,13.301573
750.1220703125,13.598,12_422400_318750000_2133000000,696.37354,13.67144
771.8682289123535,14.3525,12_422400_318750000_3199000000,686.87085,14.346917
776.8474817276001,12.583,12_422400_318750000_665600000,769.9944,13.035704
1111.1502647399902,13.598,12_422400_114750000_2133000000,1069.499,13.483874
1114.672303199768,14.304,12_422400_114750000_3199000000,1058.5228,14.172249
1131.802678108215,12.7825,12_422400_114750000_665600000,1124.6884,12.790176
462.6317024230957,17.62,12_729600_1300500000_2133000000,628.5556,17.224695
465.9850597381592,17.9735,12_729600_1300500000_3199000000,619.4711,17.924664
540.675163269043,16.0,12_729600_1300500000_665600000,664.2163,16.415112
465.77656269073486,15.608,12_729600_1134750000_2133000000,598.49695,16.392096
472.7799892425537,16.614,12_729600_1134750000_3199000000,586.9278,17.200201
519.6775197982788,15.808,12_729600_1134750000_665600000,633.0292,15.53435
463.5152816772461,15.509,12_729600_930750000_2133000000,563.1706,15.533444
462.9040956497192,15.911,12_729600_930750000_3199000000,550.67444,16.39816
514.0411853790283,15.105,12_729600_930750000_665600000,603.6831,14.627061
458.56714248657227,14.806,12_729600_726750000_2133000000,533.8368,14.804837
471.2386131286621,15.6635,12_729600_726750000_3199000000,518.8899,15.673004
526.9626379013062,14.303,12_729600_726750000_665600000,587.1512,14.0143385
473.2320308685303,14.404,12_729600_522750000_2133000000,511.07843,14.312013
467.5788879394531,15.41,12_729600_522750000_3199000000,493.45328,15.150173
542.453408241272,13.7905,12_729600_522750000_665600000,590.223,13.548063
511.6162300109863,15.008,12_729600_318750000_2133000000,543.4386,13.995234
499.7545480728149,14.806,12_729600_318750000_3199000000,512.54346,14.818179
596.7756509780884,13.186,12_729600_318750000_665600000,636.1233,13.272585
957.588791847229,14.002,12_729600_114750000_2133000000,963.27637,13.782274
943.8048601150512,15.109,12_729600_114750000_3199000000,959.75995,14.55187
966.6069746017456,12.994,12_729600_114750000_665600000,1010.7412,13.019124
354.81131076812744,18.02,12_1036800_1300500000_2133000000,459.73752,18.137262
353.7755012512207,18.976,12_1036800_1300500000_3199000000,465.36115,18.89181
449.1034746170044,18.117,12_1036800_1300500000_665600000,497.69232,17.313269
357.29527473449707,16.816,12_1036800_1134750000_2133000000,424.77533,17.297916
340.47675132751465,17.923,12_1036800_1134750000_3199000000,430.45908,18.162218
449.02193546295166,16.3615,12_1036800_1134750000_665600000,471.305,16.428034
353.7226915359497,16.212,12_1036800_930750000_2133000000,390.4328,16.445145
344.33794021606445,17.1685,12_1036800_930750000_3199000000,393.94977,17.35828
457.48400688171387,15.605,12_1036800_930750000_665600000,455.11407,15.413518
359.46691036224365,15.7125,12_1036800_726750000_2133000000,368.1958,15.662192
347.1869230270386,16.315,12_1036800_726750000_3199000000,370.8197,16.607935
466.47095680236816,15.31,12_1036800_726750000_665600000,457.73645,14.586439
355.4750680923462,15.41,12_1036800_522750000_2133000000,384.2637,14.93454
361.0197305679321,15.913,12_1036800_522750000_3199000000,364.60986,15.920441
480.819582939148,14.094,12_1036800_522750000_665600000,483.10303,13.991958
