cores,cpu,gpu,mem,bs,predicted_power
8,1651200,522750000,2133000000,1,13.426137
8,1651200,522750000,3199000000,1,14.911608
12,1651200,522750000,665600000,1,16.881004
12,1651200,522750000,2133000000,1,15.459509
12,1651200,522750000,3199000000,1,16.172344
4,1651200,726750000,665600000,1,17.623446
4,1651200,726750000,2133000000,1,16.530811
4,1651200,726750000,3199000000,1,17.400028
8,1651200,726750000,665600000,1,17.432472
8,1651200,726750000,2133000000,1,15.94604
8,1651200,726750000,3199000000,1,16.590717
12,1651200,726750000,665600000,1,19.721333
12,1651200,726750000,2133000000,1,18.341324
12,1651200,726750000,3199000000,1,18.339527
4,1651200,930750000,665600000,1,19.990715
4,1651200,930750000,2133000000,1,18.798092
4,1651200,930750000,3199000000,1,19.280865
8,1651200,930750000,665600000,1,20.4482
8,1651200,930750000,2133000000,1,19.093443
8,1651200,930750000,3199000000,1,19.263554
12,1651200,930750000,665600000,1,23.038095
12,1651200,930750000,2133000000,1,21.514814
12,1651200,930750000,3199000000,1,21.20679
4,1651200,1134750000,665600000,1,22.705751
4,1651200,1134750000,2133000000,1,21.675293
4,1651200,1134750000,3199000000,1,21.745768
8,1651200,1134750000,665600000,1,23.833975
8,1651200,1134750000,2133000000,1,22.422691
8,1651200,1134750000,3199000000,1,22.440052
12,1651200,1134750000,665600000,1,26.403357
12,1651200,1134750000,2133000000,1,24.885506
12,1651200,1134750000,3199000000,1,24.40104
4,1651200,1300500000,665600000,1,25.16339
4,1651200,1300500000,2133000000,1,24.182968
4,1651200,1300500000,3199000000,1,24.12294
8,1651200,1300500000,665600000,1,26.649172
8,1651200,1300500000,2133000000,1,25.18728
8,1651200,1300500000,3199000000,1,25.090755
12,1651200,1300500000,665600000,1,29.201883
12,1651200,1300500000,2133000000,1,27.714449
12,1651200,1300500000,3199000000,1,27.14555
4,1958400,114750000,665600000,1,17.411964
4,1958400,114750000,2133000000,1,18.618202
4,1958400,114750000,3199000000,1,20.494457
8,1958400,114750000,665600000,1,14.773346
8,1958400,114750000,2133000000,1,15.8141985
8,1958400,114750000,3199000000,1,18.071669
12,1958400,114750000,665600000,1,14.4589815
12,1958400,114750000,2133000000,1,14.929788
12,1958400,114750000,3199000000,1,17.070454
4,1958400,318750000,665600000,1,16.698582
4,1958400,318750000,2133000000,1,16.953077
4,1958400,318750000,3199000000,1,18.950079
8,1958400,318750000,665600000,1,14.7732935
8,1958400,318750000,2133000000,1,14.335862
8,1958400,318750000,3199000000,1,16.45751
12,1958400,318750000,665600000,1,15.35384
12,1958400,318750000,2133000000,1,14.522996
12,1958400,318750000,3199000000,1,16.320824
4,1958400,522750000,665600000,1,17.520245
4,1958400,522750000,2133000000,1,17.18111
4,1958400,522750000,3199000000,1,18.695267
8,1958400,522750000,665600000,1,16.416178
8,1958400,522750000,2133000000,1,15.213093
8,1958400,522750000,3199000000,1,16.781643
12,1958400,522750000,665600000,1,17.629833
12,1958400,522750000,2133000000,1,16.291239
12,1958400,522750000,3199000000,1,17.299885
4,1958400,726750000,665600000,1,19.18
4,1958400,726750000,2133000000,1,18.46685
4,1958400,726750000,3199000000,1,19.428268
8,1958400,726750000,665600000,1,18.795279
8,1958400,726750000,2133000000,1,17.451334
8,1958400,726750000,3199000000,1,18.293823
12,1958400,726750000,665600000,1,20.6204
12,1958400,726750000,2133000000,1,19.139957
12,1958400,726750000,3199000000,1,19.331408
4,1958400,930750000,665600000,1,21.42744
4,1958400,930750000,2133000000,1,20.472332
4,1958400,930750000,3199000000,1,21.068228
8,1958400,930750000,665600000,1,21.7297
8,1958400,930750000,2133000000,1,20.433071
8,1958400,930750000,3199000000,1,20.661602
12,1958400,930750000,665600000,1,23.915352
12,1958400,930750000,2133000000,1,22.423874
12,1958400,930750000,3199000000,1,22.149818
4,1958400,1134750000,665600000,1,24.094965
4,1958400,1134750000,2133000000,1,23.133846
4,1958400,1134750000,3199000000,1,23.324924
8,1958400,1134750000,665600000,1,24.953411
8,1958400,1134750000,2133000000,1,23.658274
8,1958400,1134750000,3199000000,1,23.702831
12,1958400,1134750000,665600000,1,27.33188
12,1958400,1134750000,2133000000,1,25.845695
12,1958400,1134750000,3199000000,1,25.466318
4,1958400,1300500000,665600000,1,26.465971
4,1958400,1300500000,2133000000,1,25.561403
4,1958400,1300500000,3199000000,1,25.543507
8,1958400,1300500000,665600000,1,27.689476
8,1958400,1300500000,2133000000,1,26.37855
8,1958400,1300500000,3199000000,1,26.304188
12,1958400,1300500000,665600000,1,30.120762
12,1958400,1300500000,2133000000,1,28.6791
12,1958400,1300500000,3199000000,1,28.255814
4,2201600,114750000,665600000,1,18.59227
4,2201600,114750000,2133000000,1,19.912308
