observed_time,observed_power,powermode,predicted_time,predicted_power
191.03829956054688,23.174,8_1036800_522750000_3199000000,198.27232,22.436008
324.1360321044922,18.071,8_1036800_522750000_665600000,324.43506,17.699276
298.0414123535156,19.1785,8_1036800_318750000_2133000000,298.9101,18.411516
292.44468688964844,20.583,8_1036800_318750000_3199000000,290.3737,20.022423
378.9243469238281,17.062,8_1036800_318750000_665600000,377.6453,16.609024
779.6131286621094,15.353,8_1036800_114750000_2133000000,769.6221,16.088856
778.1706848144531,16.166,8_1036800_114750000_3199000000,771.4895,16.60718
788.9798583984375,14.45,8_1036800_114750000_665600000,784.1341,15.110061
138.78108978271484,32.698,8_1344000_1300500000_2133000000,150.49696,30.766575
129.6925811767578,34.497,8_1344000_1300500000_3199000000,125.4259,34.87478
276.0162048339844,24.989,8_1344000_1300500000_665600000,276.93103,24.363697
139.6861801147461,29.886,8_1344000_1134750000_2133000000,155.31776,28.113504
127.62766647338869,31.14,8_1344000_1134750000_3199000000,132.5957,31.836742
279.0434265136719,22.984,8_1344000_1134750000_665600000,280.3681,22.712008
147.085205078125,27.281,8_1344000_930750000_2133000000,157.62895,25.433895
130.70178985595703,29.882,8_1344000_930750000_3199000000,144.4858,28.503216
286.45652770996094,20.779,8_1344000_930750000_665600000,288.12854,21.048458
163.52635192871094,24.175,8_1344000_726750000_2133000000,190.3727,23.334328
152.75192260742188,26.679,8_1344000_726750000_3199000000,161.2165,25.790482
299.19488525390625,19.577,8_1344000_726750000_665600000,302.3679,19.540218
199.26270294189453,21.684,8_1344000_522750000_2133000000,201.08841,21.260933
192.79320526123047,23.1765,8_1344000_522750000_3199000000,193.05962,23.54658
322.0476531982422,18.1165,8_1344000_522750000_665600000,320.27924,18.110828
295.1645965576172,19.18,8_1344000_318750000_2133000000,291.79285,18.992743
292.4783630371094,20.583,8_1344000_318750000_3199000000,282.20682,20.544235
378.9649353027344,17.359,8_1344000_318750000_665600000,372.30606,16.735188
777.461181640625,15.454,8_1344000_114750000_2133000000,767.0206,16.016308
774.3628845214844,16.1575,8_1344000_114750000_3199000000,769.7075,16.835768
787.6963195800781,14.55,8_1344000_114750000_665600000,778.7094,15.146846
126.74644470214844,34.697,8_1651200_1300500000_2133000000,144.22687,32.89823
106.66683197021484,39.11,8_1651200_1300500000_3199000000,120.23323,37.385277
271.3108215332031,25.788,8_1651200_1300500000_665600000,276.06232,25.351578
129.4763641357422,31.291,8_1651200_1134750000_2133000000,153.27109,30.068378
110.55070114135742,35.899,8_1651200_1134750000_3199000000,127.45484,34.201347
275.58160400390625,23.3825,8_1651200_1134750000_665600000,277.95996,23.374203
140.36304473876953,28.384,8_1651200_930750000_2133000000,156.85394,26.89158
121.7020149230957,31.384,8_1651200_930750000_3199000000,138.90053,30.55371
283.7382354736328,21.577,8_1651200_930750000_665600000,283.84818,21.4282
155.66814422607422,25.174,8_1651200_726750000_2133000000,175.13925,24.457512
140.29417419433594,27.8815,8_1651200_726750000_3199000000,153.23613,27.434933
297.75244140625,19.978,8_1651200_726750000_665600000,299.19394,19.993433
195.4052963256836,22.085,8_1651200_522750000_2133000000,197.72804,22.289215
190.8161697387696,23.78,8_1651200_522750000_3199000000,189.89632,24.495884
320.0336456298828,18.974,8_1651200_522750000_665600000,317.13525,18.632902
294.45884704589844,19.578,8_1651200_318750000_2133000000,286.5027,19.596762
288.8667907714844,21.077,8_1651200_318750000_3199000000,279.51895,21.219545
375.3664093017578,17.861,8_1651200_318750000_665600000,368.70038,17.169424
776.3280944824219,15.754,8_1651200_114750000_2133000000,764.3187,16.175648
772.9473266601562,16.557,8_1651200_114750000_3199000000,766.7085,17.16023
785.6716918945312,14.851,8_1651200_114750000_665600000,775.05334,15.32989
120.9050407409668,36.608,8_1958400_1300500000_2133000000,139.81297,34.95087
100.53059005737305,41.222,8_1958400_1300500000_3199000000,117.6367,39.72501
270.8675537109375,26.2425,8_1958400_1300500000_665600000,272.013,26.713509
126.80409622192384,33.3925,8_1958400_1134750000_2133000000,149.48065,31.890059
107.52984237670898,36.902,8_1958400_1134750000_3199000000,123.61381,36.550503
276.0368957519531,23.785,8_1958400_1134750000_665600000,277.06448,24.293882
134.07505798339844,29.9335,8_1958400_930750000_2133000000,158.27097,28.51969
115.09224319458008,33.394,8_1958400_930750000_3199000000,133.90944,32.69699
282.8412322998047,22.077,8_1958400_930750000_665600000,280.37006,22.095026
152.8165740966797,26.475,8_1958400_726750000_2133000000,160.06711,25.583515
139.67377471923828,28.784,8_1958400_726750000_3199000000,149.80392,28.999493
294.40711975097656,20.374,8_1958400_726750000_665600000,295.3412,20.410053
194.1484603881836,23.278,8_1958400_522750000_2133000000,194.9517,23.227024
188.45225524902344,24.9275,8_1958400_522750000_3199000000,187.80081,25.483995
318.3363800048828,19.364,8_1958400_522750000_665600000,314.8853,19.177015
292.17527770996094,19.979,8_1958400_318750000_2133000000,285.34583,20.238949
