epoch,batch_idx,computetime,computetime_ms,log_time
_,729,null,340.49639892578125,256.24313831329346
0,729,null,340.49639892578125,256.24316573143005
_,730,null,342.086669921875,256.5865411758423
0,730,null,342.086669921875,256.5865683555603
_,731,null,340.4756774902344,256.9283275604248
0,731,null,340.4756774902344,256.9283547401428
_,732,null,341.16607666015625,257.27119636535645
0,732,null,341.16607666015625,257.2712233066559
_,733,null,341.52838134765625,257.6140341758728
0,733,null,341.52838134765625,257.61406207084656
_,734,null,340.7050476074219,257.9559986591339
0,734,null,340.7050476074219,257.9560282230377
_,735,null,340.7720031738281,258.2989573478699
0,735,null,340.7720031738281,258.29898405075073
_,736,null,340.8907775878906,258.6411187648773
0,736,null,340.8907775878906,258.6411454677582
_,737,null,341.243896484375,258.9836895465851
0,737,null,341.243896484375,258.98371624946594
_,738,null,341.36370849609375,259.3263454437256
0,738,null,341.36370849609375,259.32637190818787
_,739,null,340.7359924316406,259.6681206226349
0,739,null,340.7359924316406,259.66814827919006
_,740,null,340.4031982421875,260.0100607872009
0,740,null,340.4031982421875,260.01008772850037
_,741,null,341.8951721191406,260.3531906604767
0,741,null,341.8951721191406,260.3532168865204
_,742,null,340.7953796386719,260.69528818130493
0,742,null,340.7953796386719,260.69531512260437
_,743,null,38.38771057128906,260.7349662780762
0,743,null,38.38771057128906,260.73499274253845
_,1,null,339.1376037597656,261.14647245407104
1,1,null,339.1376037597656,261.1465344429016
_,2,null,340.2853088378906,261.4912645816803
1,2,null,340.2853088378906,261.49131441116333
_,3,null,342.6786193847656,261.8344638347626
1,3,null,342.6786193847656,261.83451437950134
_,4,null,341.03399658203125,262.17599415779114
1,4,null,341.03399658203125,262.17604422569275
_,5,null,340.8559875488281,262.5174491405487
1,5,null,340.8559875488281,262.5174973011017
_,6,null,341.1804504394531,262.86020064353943
1,6,null,341.1804504394531,262.8602542877197
_,7,null,342.11328125,263.20293402671814
1,7,null,342.11328125,263.20298624038696
_,8,null,340.55987548828125,263.5440135002136
1,8,null,340.55987548828125,263.5440664291382
_,9,null,341.7712707519531,263.8863744735718
1,9,null,341.7712707519531,263.88642597198486
_,10,null,341.8040466308594,264.2294647693634
1,10,null,341.8040466308594,264.22951674461365
_,11,null,340.4451904296875,264.57165813446045
1,11,null,340.4451904296875,264.57170820236206
_,12,null,340.6766052246094,264.91400933265686
1,12,null,340.6766052246094,264.9140625
_,13,null,341.9596862792969,265.25738978385925
1,13,null,341.9596862792969,265.2574417591095
_,14,null,340.4021301269531,265.599200963974
1,14,null,340.4021301269531,265.5992467403412
_,15,null,340.9162292480469,265.9418992996216
1,15,null,340.9162292480469,265.9419460296631
_,16,null,342.0518493652344,266.28528237342834
1,16,null,342.0518493652344,266.28533005714417
_,17,null,341.1445617675781,266.627836227417
1,17,null,341.1445617675781,266.6278872489929
_,18,null,340.24755859375,266.9697198867798
1,18,null,340.24755859375,266.96977043151855
_,19,null,342.4327697753906,267.31350088119507
1,19,null,342.4327697753906,267.3135471343994
_,20,null,341.05035400390625,267.6560251712799
1,20,null,341.05035400390625,267.65607738494873
_,21,null,341.3521728515625,267.99893522262573
1,21,null,341.3521728515625,267.9989881515503
_,22,null,341.3125,268.3421700000763
1,22,null,341.3125,268.3422176837921
_,23,null,341.0043029785156,268.68452310562134
1,23,null,341.0043029785156,268.68457865715027
_,24,null,340.9664001464844,269.0273103713989
1,24,null,340.9664001464844,269.0273621082306
_,25,null,341.97296142578125,269.3710923194885
1,25,null,341.97296142578125,269.37114453315735
_,26,null,340.7585144042969,269.713317155838
1,26,null,340.7585144042969,269.7133619785309
_,27,null,340.16357421875,270.0546877384186
1,27,null,340.16357421875,270.0547397136688
