cores,cpu,gpu,mem,observed_time,bs,observed_power
8,1036800,930750000,665600000,34.71612739562988,1.0,16.455
8,1036800,930750000,2133000000,31.81723117828369,1.0,17.558
8,1036800,930750000,3199000000,30.005743980407715,1.0,18.76
12,1036800,930750000,665600000,34.01327896118164,1.0,16.755
12,1036800,930750000,2133000000,31.03878402709961,1.0,17.61
12,1036800,930750000,3199000000,29.668224334716797,1.0,18.263
4,1036800,1134750000,665600000,37.78647994995117,1.0,16.955
4,1036800,1134750000,2133000000,33.60503959655762,1.0,18.46
4,1036800,1134750000,3199000000,32.55105781555176,1.0,18.959
8,1036800,1134750000,665600000,34.46944046020508,1.0,17.9105
8,1036800,1134750000,2133000000,31.763839721679688,1.0,18.36
8,1036800,1134750000,3199000000,30.605520248413086,1.0,19.466
12,1036800,1134750000,665600000,34.42313575744629,1.0,17.857
12,1036800,1134750000,2133000000,30.970223426818848,1.0,18.862
12,1036800,1134750000,3199000000,30.000720024108887,1.0,19.413
4,1036800,1300500000,665600000,37.189727783203125,1.0,18.658
4,1036800,1300500000,2133000000,35.494815826416016,1.0,19.665
4,1036800,1300500000,3199000000,31.387968063354492,1.0,19.9105
8,1036800,1300500000,665600000,34.317935943603516,1.0,18.909
8,1036800,1300500000,2133000000,31.122767448425293,1.0,19.459
8,1036800,1300500000,3199000000,30.54576015472412,1.0,20.412
12,1036800,1300500000,665600000,37.586769104003906,1.0,18.859
12,1036800,1300500000,2133000000,33.52171325683594,1.0,19.711
12,1036800,1300500000,3199000000,29.840271949768066,1.0,21.015
4,1344000,114750000,665600000,52.206687927246094,1.0,14.246
4,1344000,114750000,2133000000,50.51163101196289,1.0,15.204
4,1344000,114750000,3199000000,49.668094635009766,1.0,15.965
8,1344000,114750000,665600000,51.47817611694336,1.0,14.149
8,1344000,114750000,2133000000,50.18711853027344,1.0,15.149
8,1344000,114750000,3199000000,49.50951957702637,1.0,15.152
12,1344000,114750000,665600000,51.571712493896484,1.0,14.651
12,1344000,114750000,2133000000,50.02292823791504,1.0,15.554
12,1344000,114750000,3199000000,49.45619201660156,1.0,16.1685
4,1344000,318750000,665600000,33.87750434875488,1.0,15.252
4,1344000,318750000,2133000000,28.509807586669922,1.0,16.155
4,1344000,318750000,3199000000,27.25841522216797,1.0,17.873
8,1344000,318750000,665600000,30.464735984802246,1.0,15.753
8,1344000,318750000,2133000000,27.307456016540527,1.0,16.76
8,1344000,318750000,3199000000,26.223807334899902,1.0,17.7685
12,1344000,318750000,665600000,30.96326446533203,1.0,15.653
12,1344000,318750000,2133000000,27.01689624786377,1.0,16.757
