cores,cpu,gpu,mem,observed_time,bs,observed_power
8,1036800,522750000,3199000000,131.50718688964844,1.0,27.0
12,1036800,522750000,665600000,239.859375,1.0,20.38
12,1036800,522750000,2133000000,144.06761169433594,1.0,23.992
12,1036800,522750000,3199000000,130.52982330322266,1.0,27.853
4,1036800,726750000,665600000,231.9158706665039,1.0,20.7275
4,1036800,726750000,2133000000,92.5504150390625,1.0,41.827
4,1036800,726750000,3199000000,97.11767959594727,1.0,31.392
8,1036800,726750000,665600000,231.38937377929688,1.0,20.676
8,1036800,726750000,2133000000,103.02932739257812,1.0,29.706
8,1036800,726750000,3199000000,102.25089645385742,1.0,30.4895
12,1036800,726750000,665600000,231.778564453125,1.0,20.676
12,1036800,726750000,2133000000,103.5906867980957,1.0,29.0035
12,1036800,726750000,3199000000,98.16566467285156,1.0,31.994
4,1036800,930750000,665600000,230.24036407470703,1.0,21.778
4,1036800,930750000,2133000000,82.87639999389648,1.0,42.418
4,1036800,930750000,3199000000,83.70140838623047,1.0,36.405
8,1036800,930750000,665600000,230.54022216796875,1.0,22.28
8,1036800,930750000,2133000000,90.93958282470703,1.0,33.52
8,1036800,930750000,3199000000,84.47011184692383,1.0,36.915
12,1036800,930750000,665600000,239.75867462158203,1.0,22.28
12,1036800,930750000,2133000000,91.86831665039062,1.0,32.6165
12,1036800,930750000,3199000000,78.41203308105469,1.0,37.909
4,1036800,1134750000,665600000,230.29086303710938,1.0,24.385
4,1036800,1134750000,2133000000,83.15187072753906,1.0,41.916
4,1036800,1134750000,3199000000,81.62236785888672,1.0,42.509
8,1036800,1134750000,665600000,226.91310119628906,1.0,24.385
8,1036800,1134750000,2133000000,84.97900772094727,1.0,38.8765
8,1036800,1134750000,3199000000,81.14177703857422,1.0,41.7185
12,1036800,1134750000,665600000,225.570068359375,1.0,24.786
12,1036800,1134750000,2133000000,83.54550170898438,1.0,38.0715
12,1036800,1134750000,3199000000,70.52689743041992,1.0,44.938
4,1036800,1300500000,665600000,230.45263671875,1.0,26.189
4,1036800,1300500000,2133000000,91.05721282958984,1.0,41.315
4,1036800,1300500000,3199000000,80.42023849487305,1.0,44.368
8,1036800,1300500000,665600000,232.9296646118164,1.0,26.691
8,1036800,1300500000,2133000000,84.61576080322266,1.0,42.318
8,1036800,1300500000,3199000000,80.4239387512207,1.0,46.831
12,1036800,1300500000,665600000,226.02857971191406,1.0,26.791
12,1036800,1300500000,2133000000,81.85369491577148,1.0,42.412
12,1036800,1300500000,3199000000,84.74059295654297,1.0,43.723
4,1344000,114750000,665600000,554.6227416992188,1.0,14.952
4,1344000,114750000,2133000000,551.0220642089844,1.0,16.361
4,1344000,114750000,3199000000,550.4438171386719,1.0,17.566
8,1344000,114750000,665600000,557.4182434082031,1.0,15.353
8,1344000,114750000,2133000000,553.8834228515625,1.0,16.166
8,1344000,114750000,3199000000,554.122802734375,1.0,17.37
12,1344000,114750000,665600000,564.2271728515625,1.0,15.252
12,1344000,114750000,2133000000,551.8436889648438,1.0,16.166
12,1344000,114750000,3199000000,547.8310546875,1.0,17.37
4,1344000,318750000,665600000,264.0182342529297,1.0,18.374
4,1344000,318750000,2133000000,82.17758560180664,1.0,43.527
4,1344000,318750000,3199000000,201.84893035888672,1.0,22.389
8,1344000,318750000,665600000,264.4165802001953,1.0,18.775
8,1344000,318750000,2133000000,208.49209594726562,1.0,21.134
8,1344000,318750000,3199000000,210.4567642211914,1.0,22.188
12,1344000,318750000,665600000,262.04542541503906,1.0,18.775
12,1344000,318750000,2133000000,205.6275863647461,1.0,21.084
12,1344000,318750000,3199000000,208.19051361083984,1.0,22.589
4,1344000,522750000,665600000,238.12332916259766,1.0,19.477
4,1344000,522750000,2133000000,85.7898063659668,1.0,42.323
4,1344000,522750000,3199000000,129.46988677978516,1.0,26.9
8,1344000,522750000,665600000,238.20641326904297,1.0,19.878
8,1344000,522750000,2133000000,134.05374145507812,1.0,24.944
8,1344000,522750000,3199000000,129.9143524169922,1.0,27.0
12,1344000,522750000,665600000,239.2780532836914,1.0,19.376
12,1344000,522750000,2133000000,131.54556274414062,1.0,25.292
12,1344000,522750000,3199000000,132.41929626464844,1.0,26.9
4,1344000,726750000,665600000,233.8884506225586,1.0,20.676
4,1344000,726750000,2133000000,82.70137786865234,1.0,42.92
4,1344000,726750000,3199000000,99.59600067138672,1.0,31.994
8,1344000,726750000,665600000,230.48932647705078,1.0,20.679
8,1344000,726750000,2133000000,105.81649398803711,1.0,29.007
8,1344000,726750000,3199000000,103.69643020629883,1.0,31.499
