power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
27,4_1651200_1300500000_2133000000,4.0,43.47026348114014,26.985,0.14,60,1,12_2201600_522750000_3199000000,4,50.95505714416504,25.694,1,True,0.05095505714416504,0.1176217238108317,3.0573034286499023
28,4_1958400_930750000_3199000000,4.0,36.35942935943604,27.284,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
29,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
30,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
31,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
32,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
33,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
34,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
35,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
36,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
37,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
38,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
39,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
40,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
41,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
42,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
43,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
44,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.14,60,1,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,1,True,0.041332364082336426,0.10799903074900309,2.4799418449401855
