power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
25,4_1958400_930750000_3199000000,4.0,2.198607921600342,24.068,0.06,80,1,8_1958400_318750000_2133000000,1,2.245743989944458,26.875,1,False,0.002245743989944458,0.014745743989944458,0.17965951919555664
26,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.06,80,1,12_2201600_318750000_2133000000,4,3.452112078666687,20.548,1,True,0.003452112078666687,0.05345211207866669,0.276168966293335
27,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.06,80,1,12_2201600_318750000_2133000000,4,3.452112078666687,20.548,1,True,0.003452112078666687,0.05345211207866669,0.276168966293335
28,8_1958400_930750000_3199000000,1.0,2.190736055374145,25.074,0.06,80,1,12_2201600_318750000_2133000000,4,3.452112078666687,20.548,1,True,0.003452112078666687,0.05345211207866669,0.276168966293335
29,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
30,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
31,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
32,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
33,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
34,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
35,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
36,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
37,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
38,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
39,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
40,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
41,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
42,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
43,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
44,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
45,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
