powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2
12_2201600_726750000_3199000000,141.7566909790039,32.0,35.905,36.0,41.0,4.5,9.0,8_1651200_726750000_2133000000,1489.0365600585938,16.0,33.812,3.0,True,0.1417566909790039,3.697312246534559,1.275810218811035
12_2201600_726750000_3199000000,141.7566909790039,32.0,35.905,37.0,41.0,4.5,9.0,4_1651200_726750000_3199000000,1389.6279296875,16.0,36.908,4.0,True,0.1417566909790039,3.697312246534559,1.275810218811035
12_2201600_726750000_3199000000,141.7566909790039,32.0,35.905,38.0,41.0,4.5,9.0,4_1651200_726750000_3199000000,1389.6279296875,16.0,36.908,4.0,True,0.1417566909790039,3.697312246534559,1.275810218811035
12_2201600_726750000_3199000000,141.7566909790039,32.0,35.905,39.0,41.0,4.5,9.0,12_2201600_726750000_3199000000,1375.5809936523438,16.0,38.503,4.0,True,0.1417566909790039,3.697312246534559,1.275810218811035
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,40.0,48.0,4.5,9.0,12_2201600_726750000_3199000000,1375.5809936523438,16.0,38.503,4.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,41.0,48.0,4.5,9.0,12_2201600_726750000_3199000000,1375.5809936523438,16.0,38.503,4.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,42.0,48.0,4.5,9.0,12_2201600_726750000_3199000000,1375.5809936523438,16.0,38.503,4.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,43.0,48.0,4.5,9.0,12_2201600_726750000_3199000000,1375.5809936523438,16.0,38.503,4.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,44.0,48.0,4.5,9.0,12_2201600_726750000_3199000000,1375.5809936523438,16.0,38.503,4.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
8_1958400_930750000_3199000000,117.94254302978516,32.0,40.817,45.0,48.0,4.5,9.0,4_1958400_930750000_3199000000,537.5063171386719,8.0,44.833,4.0,True,0.11794254302978516,3.6734980985853407,1.0614828872680664
