powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,56,15.0,14.0,2.0,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,57,15.0,14.0,2.0,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,58,15.0,14.0,2.0,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,59,15.0,14.0,2.0,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,60,15.0,14.0,2.0,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,37.809,13.0,8_1958400_930750000_3199000000,77.86249542236328,1.0,40.615,13.0,True,0.0180124320983886,1.0180124320983888,0.0180124320983886,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
,,,,10,,15.0,2.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,15.0,2.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,15.0,2.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,,15.0,2.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,,15.0,2.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
4_422400_114750000_665600000,590.7732238769531,1.0,14.751,15,0.0,15.0,2.5,1.0,4_422400_114750000_665600000,590.7732238769531,1.0,14.751,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8_1958400_114750000_665600000,556.2896118164062,1.0,15.754,16,0.0,15.0,2.5,1.0,12_1958400_114750000_665600000,551.835693359375,1.0,15.954,0.0,1.0,12_1651200_114750000_665600000,51.187007904052734,1.0,15.754,2.0,12_1651200_114750000_665600000,554.6401062011719,1.0,15.754,0.0,True,0.0511870079040527,1.0511870079040528,0.0511870079040527,,,,,,8_1344000_114750000_665600000,557.4182434082031,1.0,15.353,0.0
8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,17,0.0,15.0,2.5,1.0,4_1958400_114750000_2133000000,548.9737854003906,1.0,16.557,0.0,1.0,12_1651200_114750000_665600000,51.187007904052734,1.0,15.754,2.0,12_1651200_114750000_665600000,554.6401062011719,1.0,15.754,0.0,True,0.0511870079040527,1.0511870079040528,0.0511870079040527,,,,,,8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,0.0
4_2201600_114750000_3199000000,549.0738220214844,1.0,17.768,18,0.0,15.0,2.5,1.0,4_422400_318750000_665600000,280.20025634765625,1.0,17.768,2.0,1.0,4_1651200_318750000_665600000,27.36411190032959,1.0,18.263,4.0,12_1036800_114750000_3199000000,548.587646484375,1.0,17.37,0.0,True,0.0273641119003295,1.0273641119003296,0.0273641119003295,,,,,,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
